Date,Description,Amount,Category,Recipient IBAN
2023-10-20,Grocery Shopping,-50.00,Groceries,
2023-10-27,Online Payment,-25.00,Utilities,
2023-11-01,CryptoKingsRecovery Payment,-6500.00,Investment,NG5100001234567890
2023-11-08,Restaurant Dinner,-75.00,Dining,
2023-11-15,Online Payment,-100.00,Entertainment,
2023-11-22,Utilities Payment,-150.00,Utilities,
2023-12-01,CryptoKingsRecovery Fees,-2000.00,Investment,NG5100001234567890
2023-12-08,Car Payment,-300.00,Automobile
2023-12-15,Online Purchase,-40.00,Shopping,
2023-12-22,Restaurant Dinner,-60.00,Dining
